Source,Target
恶心,浮肿
恶心,汗出
恶心,自汗
恶心,鼻衄
恶心,头痛
恶心,恶寒
恶心,发热
恶心,皮肤瘙痒
恶心,鼻鸣
浮肿,汗出
浮肿,自汗
浮肿,鼻衄
浮肿,头痛
浮肿,恶寒
浮肿,发热
浮肿,皮肤瘙痒
浮肿,鼻鸣
汗出,自汗
汗出,鼻衄
汗出,头痛
汗出,恶寒
汗出,发热
汗出,皮肤瘙痒
汗出,鼻鸣
自汗,鼻衄
自汗,头痛
自汗,恶寒
自汗,发热
自汗,皮肤瘙痒
自汗,鼻鸣
鼻衄,头痛
鼻衄,恶寒
鼻衄,发热
鼻衄,皮肤瘙痒
鼻衄,鼻鸣
头痛,恶寒
头痛,发热
头痛,皮肤瘙痒
头痛,鼻鸣
恶寒,发热
恶寒,皮肤瘙痒
恶寒,鼻鸣
发热,皮肤瘙痒
发热,鼻鸣
皮肤瘙痒,鼻鸣
烦渴,昏迷
烦渴,恶寒
烦渴,尿黄
烦渴,语声洪亮
烦渴,气喘
烦渴,尿短
烦渴,发热
烦渴,便秘
烦渴,意识障碍
烦渴,饮冷
昏迷,恶寒
昏迷,尿黄
昏迷,语声洪亮
昏迷,气喘
昏迷,尿短
昏迷,发热
昏迷,便秘
昏迷,意识障碍
昏迷,饮冷
恶寒,尿黄
恶寒,语声洪亮
恶寒,气喘
恶寒,尿短
恶寒,便秘
恶寒,意识障碍
恶寒,饮冷
尿黄,语声洪亮
尿黄,气喘
尿黄,尿短
尿黄,发热
尿黄,便秘
尿黄,意识障碍
尿黄,饮冷
语声洪亮,气喘
语声洪亮,尿短
语声洪亮,发热
语声洪亮,便秘
语声洪亮,意识障碍
语声洪亮,饮冷
气喘,尿短
气喘,发热
气喘,便秘
气喘,意识障碍
气喘,饮冷
尿短,发热
尿短,便秘
尿短,意识障碍
尿短,饮冷
发热,便秘
发热,意识障碍
发热,饮冷
便秘,意识障碍
便秘,饮冷
意识障碍,饮冷
瘫痪,肢体麻木
瘫痪,半身不遂
瘫痪,无汗
瘫痪,头痛
瘫痪,恶寒
瘫痪,肢体痛
瘫痪,感觉异常
肢体麻木,半身不遂
肢体麻木,无汗
肢体麻木,头痛
肢体麻木,恶寒
肢体麻木,肢体痛
肢体麻木,感觉异常
半身不遂,无汗
半身不遂,头痛
半身不遂,恶寒
半身不遂,肢体痛
半身不遂,感觉异常
无汗,头痛
无汗,恶寒
无汗,肢体痛
无汗,感觉异常
头痛,肢体痛
头痛,感觉异常
恶寒,肢体痛
恶寒,感觉异常
肢体痛,感觉异常
口疮,欲饮
口疮,口渴
口疮,尿黄
口疮,便秘
口疮,腹胀
口疮,月经过多
口疮,口臭
欲饮,口渴
欲饮,尿黄
欲饮,便秘
欲饮,腹胀
欲饮,月经过多
欲饮,口臭
口渴,尿黄
口渴,便秘
口渴,腹胀
口渴,月经过多
口渴,口臭
尿黄,腹胀
尿黄,月经过多
尿黄,口臭
便秘,腹胀
便秘,月经过多
便秘,口臭
腹胀,月经过多
腹胀,口臭
月经过多,口臭
口疮,咽干
口疮,不寐
口疮,尿少
口疮,发热
口疮,月经过少
咽干,不寐
咽干,尿少
咽干,口渴
咽干,尿黄
咽干,发热
咽干,月经过少
不寐,尿少
不寐,口渴
不寐,尿黄
不寐,发热
不寐,月经过少
尿少,口渴
尿少,尿黄
尿少,发热
尿少,月经过少
口渴,发热
口渴,月经过少
尿黄,月经过少
发热,月经过少
月经错后,皮肤瘙痒
月经错后,皮肤干燥
月经错后,面色不荣
皮肤瘙痒,皮肤干燥
皮肤瘙痒,面色不荣
皮肤干燥,面色不荣
月经先期,喜冷
月经先期,口渴
月经先期,尿黄
月经先期,便秘
月经先期,皮肤瘙痒
喜冷,口渴
喜冷,尿黄
喜冷,便秘
喜冷,皮肤瘙痒
口渴,皮肤瘙痒
尿黄,皮肤瘙痒
便秘,皮肤瘙痒
皮肤瘙痒,腹痛
皮肤瘙痒,经行不畅
腹痛,经行不畅
皮疹,月经错后
皮疹,面色不荣
皮疹,月经过少
皮疹,皮肤瘙痒
皮疹,皮肤干燥
月经错后,月经过少
面色不荣,月经过少
月经过少,皮肤瘙痒
月经过少,皮肤干燥
月经先期,皮疹
月经先期,喜饮
月经先期,皮肤瘢痕
皮疹,喜饮
皮疹,口渴
皮疹,尿黄
皮疹,皮肤瘢痕
皮疹,便秘
喜饮,口渴
喜饮,尿黄
喜饮,皮肤瘢痕
喜饮,便秘
喜饮,皮肤瘙痒
口渴,皮肤瘢痕
尿黄,皮肤瘢痕
皮肤瘢痕,便秘
皮肤瘢痕,皮肤瘙痒
腹痛,目赤
腹痛,胁痛
腹痛,月经色暗
腹痛,烦躁
腹痛,乳房胀
腹痛,尿黄
腹痛,便秘
腹痛,月经过多
腹痛,情绪不稳
腹痛,胸胁胀
腹痛,胸闷
腹痛,月经稠
腹痛,乳房痛
腹痛,头晕
腹痛,月经过少
腹痛,腹胀
腹痛,口苦
目赤,胁痛
目赤,月经色暗
目赤,烦躁
目赤,经行不畅
目赤,乳房胀
目赤,尿黄
目赤,便秘
目赤,月经过多
目赤,情绪不稳
目赤,胸胁胀
目赤,胸闷
目赤,月经稠
目赤,乳房痛
目赤,头晕
目赤,月经过少
目赤,腹胀
目赤,口苦
胁痛,月经色暗
胁痛,烦躁
胁痛,经行不畅
胁痛,乳房胀
胁痛,尿黄
胁痛,便秘
胁痛,月经过多
胁痛,情绪不稳
胁痛,胸胁胀
胁痛,胸闷
胁痛,月经稠
胁痛,乳房痛
胁痛,头晕
胁痛,月经过少
胁痛,腹胀
胁痛,口苦
月经色暗,烦躁
月经色暗,经行不畅
月经色暗,乳房胀
月经色暗,尿黄
月经色暗,便秘
月经色暗,月经过多
月经色暗,情绪不稳
月经色暗,胸胁胀
月经色暗,胸闷
月经色暗,月经稠
月经色暗,乳房痛
月经色暗,头晕
月经色暗,月经过少
月经色暗,腹胀
月经色暗,口苦
烦躁,经行不畅
烦躁,乳房胀
烦躁,尿黄
烦躁,便秘
烦躁,月经过多
烦躁,情绪不稳
烦躁,胸胁胀
烦躁,胸闷
烦躁,月经稠
烦躁,乳房痛
烦躁,头晕
烦躁,月经过少
烦躁,腹胀
烦躁,口苦
经行不畅,乳房胀
经行不畅,尿黄
经行不畅,便秘
经行不畅,月经过多
经行不畅,情绪不稳
经行不畅,胸胁胀
经行不畅,胸闷
经行不畅,月经稠
经行不畅,乳房痛
经行不畅,头晕
经行不畅,月经过少
经行不畅,腹胀
经行不畅,口苦
乳房胀,尿黄
乳房胀,便秘
乳房胀,月经过多
乳房胀,情绪不稳
乳房胀,胸胁胀
乳房胀,胸闷
乳房胀,月经稠
乳房胀,乳房痛
乳房胀,头晕
乳房胀,月经过少
乳房胀,腹胀
乳房胀,口苦
尿黄,情绪不稳
尿黄,胸胁胀
尿黄,胸闷
尿黄,月经稠
尿黄,乳房痛
尿黄,头晕
尿黄,口苦
便秘,情绪不稳
便秘,胸胁胀
便秘,胸闷
便秘,月经稠
便秘,乳房痛
便秘,头晕
便秘,月经过少
便秘,口苦
月经过多,情绪不稳
月经过多,胸胁胀
月经过多,胸闷
月经过多,月经稠
月经过多,乳房痛
月经过多,头晕
月经过多,月经过少
月经过多,口苦
情绪不稳,胸胁胀
情绪不稳,胸闷
情绪不稳,月经稠
情绪不稳,乳房痛
情绪不稳,头晕
情绪不稳,月经过少
情绪不稳,腹胀
情绪不稳,口苦
胸胁胀,胸闷
胸胁胀,月经稠
胸胁胀,乳房痛
胸胁胀,头晕
胸胁胀,月经过少
胸胁胀,腹胀
胸胁胀,口苦
胸闷,月经稠
胸闷,乳房痛
胸闷,头晕
胸闷,月经过少
胸闷,腹胀
胸闷,口苦
月经稠,乳房痛
月经稠,头晕
月经稠,月经过少
月经稠,腹胀
月经稠,口苦
乳房痛,头晕
乳房痛,月经过少
乳房痛,腹胀
乳房痛,口苦
头晕,月经过少
头晕,腹胀
头晕,口苦
月经过少,腹胀
月经过少,口苦
腹胀,口苦
月经色暗,月经夹瘀
腹痛,月经夹瘀
经行不畅,月经夹瘀
白带淋漓不断,腹痛
白带淋漓不断,月经色暗
白带淋漓不断,肢冷
白带淋漓不断,月经夹瘀
白带淋漓不断,月经后期
白带淋漓不断,月经过少
白带淋漓不断,便溏
白带淋漓不断,形寒
腹痛,肢冷
腹痛,月经后期
腹痛,便溏
腹痛,形寒
月经色暗,肢冷
月经色暗,月经后期
月经色暗,便溏
月经色暗,形寒
肢冷,月经夹瘀
肢冷,月经后期
肢冷,月经过少
肢冷,便溏
肢冷,形寒
月经夹瘀,月经后期
月经夹瘀,月经过少
月经夹瘀,便溏
月经夹瘀,形寒
月经后期,月经过少
月经后期,便溏
月经后期,形寒
月经过少,便溏
月经过少,形寒
便溏,形寒
情绪不稳,不寐
情绪不稳,瘫痪
情绪不稳,肢体麻木
情绪不稳,半身不遂
情绪不稳,头痛
情绪不稳,颤抖
情绪不稳,感觉异常
不寐,瘫痪
不寐,肢体麻木
不寐,烦躁
不寐,半身不遂
不寐,头晕
不寐,头痛
不寐,颤抖
不寐,感觉异常
瘫痪,烦躁
瘫痪,头晕
瘫痪,颤抖
肢体麻木,烦躁
肢体麻木,头晕
肢体麻木,颤抖
烦躁,半身不遂
烦躁,头痛
烦躁,颤抖
烦躁,感觉异常
半身不遂,头晕
半身不遂,颤抖
头晕,头痛
头晕,颤抖
头晕,感觉异常
头痛,颤抖
颤抖,感觉异常
月经先期,月经臭
月经先期,腹痛
月经先期,大便不爽
月经先期,月经色暗
月经先期,胃脘嘈杂
月经先期,尿短
月经先期,发热
月经先期,月经不调
月经先期,白带色黄
月经臭,腹痛
月经臭,大便不爽
月经臭,月经色暗
月经臭,胃脘嘈杂
月经臭,尿黄
月经臭,尿短
月经臭,发热
月经臭,月经不调
月经臭,便秘
月经臭,白带色黄
腹痛,大便不爽
腹痛,胃脘嘈杂
腹痛,尿短
腹痛,发热
腹痛,月经不调
腹痛,白带色黄
大便不爽,月经色暗
大便不爽,胃脘嘈杂
大便不爽,尿黄
大便不爽,尿短
大便不爽,发热
大便不爽,月经不调
大便不爽,便秘
大便不爽,白带色黄
月经色暗,胃脘嘈杂
月经色暗,尿短
月经色暗,发热
月经色暗,月经不调
月经色暗,白带色黄
胃脘嘈杂,尿黄
胃脘嘈杂,尿短
胃脘嘈杂,发热
胃脘嘈杂,月经不调
胃脘嘈杂,便秘
胃脘嘈杂,白带色黄
尿黄,月经不调
尿黄,白带色黄
尿短,月经不调
尿短,白带色黄
发热,月经不调
发热,白带色黄
月经不调,便秘
月经不调,白带色黄
便秘,白带色黄
腹痛,月经清稀
腹痛,月经色淡
腹痛,乏力
腹痛,面黄
腹痛,心悸
腹痛,面白
月经清稀,月经色淡
月经清稀,头晕
月经清稀,乏力
月经清稀,月经过少
月经清稀,面黄
月经清稀,心悸
月经清稀,面白
月经色淡,头晕
月经色淡,乏力
月经色淡,月经过少
月经色淡,面黄
月经色淡,心悸
月经色淡,面白
头晕,乏力
头晕,面黄
头晕,心悸
头晕,面白
乏力,月经过少
乏力,面黄
乏力,心悸
乏力,面白
月经过少,面黄
月经过少,心悸
月经过少,面白
面黄,心悸
面黄,面白
心悸,面白
腹痛,肢体痛
腹痛,白带清稀
腹痛,背冷
腹痛,尿清
腹痛,腰痛
肢体痛,白带清稀
肢体痛,肢冷
肢体痛,背冷
肢体痛,月经后期
肢体痛,尿清
肢体痛,腰痛
白带清稀,肢冷
白带清稀,背冷
白带清稀,月经后期
白带清稀,尿清
白带清稀,腰痛
肢冷,背冷
肢冷,尿清
肢冷,腰痛
背冷,月经后期
背冷,尿清
背冷,腰痛
月经后期,尿清
月经后期,腰痛
尿清,腰痛
腹痛,腰酸
腹痛,耳鸣
腰酸,耳鸣
腰酸,头晕
腰酸,月经过少
耳鸣,头晕
耳鸣,月经过少
腹胀,腰痛
腹胀,肢体痛
腰痛,月经过多
月经过多,肢体痛
腰酸,肢体痛
腰酸,腰痛
腰酸,月经后期
情绪不稳,吞酸
情绪不稳,嗳气
情绪不稳,呕吐
情绪不稳,乏力
情绪不稳,纳差
月经过少,吞酸
月经过少,嗳气
月经过少,呕吐
月经过少,纳差
吞酸,烦躁
吞酸,乳房痛
吞酸,嗳气
吞酸,乳房胀
吞酸,呕吐
吞酸,乏力
吞酸,纳差
吞酸,胸闷
烦躁,嗳气
烦躁,呕吐
烦躁,乏力
烦躁,纳差
乳房痛,嗳气
乳房痛,呕吐
乳房痛,乏力
乳房痛,纳差
嗳气,乳房胀
嗳气,呕吐
嗳气,乏力
嗳气,纳差
嗳气,胸闷
乳房胀,呕吐
乳房胀,乏力
乳房胀,纳差
呕吐,乏力
呕吐,纳差
呕吐,胸闷
乏力,纳差
乏力,胸闷
纳差,胸闷
恶心,月经先期
恶心,腹泻
恶心,足冷
恶心,咽干
恶心,口渴
恶心,手冷
恶心,胃脘嘈杂
恶心,呕吐
恶心,纳差
恶心,腹胀
恶心,面白
月经先期,腹泻
月经先期,足冷
月经先期,咽干
月经先期,手冷
月经先期,呕吐
月经先期,纳差
月经先期,腹胀
月经先期,面白
腹泻,足冷
腹泻,咽干
腹泻,口渴
腹泻,手冷
腹泻,胃脘嘈杂
腹泻,呕吐
腹泻,纳差
腹泻,腹胀
腹泻,面白
足冷,咽干
足冷,口渴
足冷,手冷
足冷,胃脘嘈杂
足冷,呕吐
足冷,纳差
足冷,腹胀
足冷,面白
咽干,手冷
咽干,胃脘嘈杂
咽干,呕吐
咽干,纳差
咽干,腹胀
咽干,面白
口渴,手冷
口渴,胃脘嘈杂
口渴,呕吐
口渴,纳差
口渴,面白
手冷,胃脘嘈杂
手冷,呕吐
手冷,纳差
手冷,腹胀
手冷,面白
胃脘嘈杂,呕吐
胃脘嘈杂,纳差
胃脘嘈杂,腹胀
胃脘嘈杂,面白
呕吐,腹胀
呕吐,面白
纳差,腹胀
纳差,面白
腹胀,面白
口粘,脘痞
口粘,视力受损
口粘,月经错后
口粘,头晕
口粘,呕吐
口粘,纳差
口粘,视物模糊
脘痞,视力受损
脘痞,月经错后
脘痞,头晕
脘痞,呕吐
脘痞,纳差
脘痞,视物模糊
视力受损,月经错后
视力受损,头晕
视力受损,呕吐
视力受损,纳差
视力受损,视物模糊
月经错后,头晕
月经错后,呕吐
月经错后,纳差
月经错后,视物模糊
头晕,呕吐
头晕,纳差
头晕,视物模糊
呕吐,视物模糊
纳差,视物模糊
白带淋漓不断,月经先期
白带淋漓不断,口淡
白带淋漓不断,腹泻
白带淋漓不断,浮肿
白带淋漓不断,面浮肿
白带淋漓不断,纳差
白带淋漓不断,面黄
白带淋漓不断,眼睑肿胀
月经先期,口淡
月经先期,浮肿
月经先期,面浮肿
月经先期,面黄
月经先期,眼睑肿胀
月经先期,便溏
口淡,腹痛
口淡,腹泻
口淡,浮肿
口淡,面浮肿
口淡,纳差
口淡,面黄
口淡,眼睑肿胀
口淡,便溏
腹痛,腹泻
腹痛,浮肿
腹痛,面浮肿
腹痛,纳差
腹痛,眼睑肿胀
腹泻,浮肿
腹泻,面浮肿
腹泻,面黄
腹泻,眼睑肿胀
腹泻,便溏
浮肿,面浮肿
浮肿,纳差
浮肿,面黄
浮肿,眼睑肿胀
浮肿,便溏
面浮肿,纳差
面浮肿,面黄
面浮肿,眼睑肿胀
面浮肿,便溏
纳差,面黄
纳差,眼睑肿胀
纳差,便溏
面黄,眼睑肿胀
面黄,便溏
眼睑肿胀,便溏
头昏沉,恶心
头昏沉,瘫痪
头昏沉,肢体麻木
头昏沉,半身不遂
头昏沉,胸闷
头昏沉,感觉异常
恶心,瘫痪
恶心,肢体麻木
恶心,半身不遂
恶心,胸闷
恶心,感觉异常
瘫痪,胸闷
肢体麻木,胸闷
半身不遂,胸闷
胸闷,感觉异常
腹泻,月经过少
腹泻,腰酸
腹泻,白带清稀
腹泻,肢冷
腹泻,下肢无力
腹泻,面暗
腹泻,月经后期
腹泻,尿清
腹泻,形寒
月经过少,白带清稀
月经过少,下肢无力
月经过少,面暗
月经过少,尿清
腹痛,下肢无力
腹痛,面暗
腰酸,白带清稀
腰酸,肢冷
腰酸,下肢无力
腰酸,面暗
腰酸,尿清
腰酸,腹胀
腰酸,便溏
腰酸,形寒
腰酸,面白
白带清稀,下肢无力
白带清稀,面暗
白带清稀,腹胀
白带清稀,便溏
白带清稀,形寒
白带清稀,面白
肢冷,下肢无力
肢冷,面暗
肢冷,腹胀
肢冷,面白
下肢无力,面暗
下肢无力,月经后期
下肢无力,尿清
下肢无力,腹胀
下肢无力,便溏
下肢无力,形寒
下肢无力,面白
面暗,月经后期
面暗,尿清
面暗,腹胀
面暗,便溏
面暗,形寒
面暗,面白
月经后期,腹胀
月经后期,面白
尿清,腹胀
尿清,便溏
尿清,形寒
尿清,面白
腹胀,便溏
腹胀,形寒
便溏,面白
形寒,面白
恶心,腹痛
恶心,胁胀
恶心,嗳气
恶心,乳房胀
腹泻,胁胀
腹泻,嗳气
腹泻,乳房胀
腹痛,胁胀
腹痛,嗳气
腹痛,呕吐
胁胀,嗳气
胁胀,乳房胀
胁胀,呕吐
胁胀,纳差
咽干,腹痛
咽干,呕血
咽干,目赤
咽干,出血
咽干,胁痛
咽干,烦躁
咽干,经行不畅
咽干,乳房胀
咽干,月经不调
咽干,情绪不稳
咽干,胸痛
咽干,头胀
咽干,乳房痛
咽干,头晕
咽干,面赤
咽干,口苦
腹痛,呕血
腹痛,出血
腹痛,胸痛
腹痛,不寐
腹痛,头胀
腹痛,面赤
呕血,目赤
呕血,出血
呕血,胁痛
呕血,烦躁
呕血,经行不畅
呕血,乳房胀
呕血,尿黄
呕血,月经不调
呕血,情绪不稳
呕血,胸痛
呕血,不寐
呕血,头胀
呕血,乳房痛
呕血,头晕
呕血,面赤
呕血,口苦
目赤,出血
目赤,月经不调
目赤,胸痛
目赤,不寐
目赤,头胀
目赤,面赤
出血,胁痛
出血,烦躁
出血,经行不畅
出血,乳房胀
出血,尿黄
出血,月经不调
出血,情绪不稳
出血,胸痛
出血,不寐
出血,头胀
出血,乳房痛
出血,头晕
出血,面赤
出血,口苦
胁痛,月经不调
胁痛,胸痛
胁痛,不寐
胁痛,头胀
胁痛,面赤
烦躁,月经不调
烦躁,胸痛
烦躁,头胀
烦躁,面赤
经行不畅,月经不调
经行不畅,胸痛
经行不畅,不寐
经行不畅,头胀
经行不畅,面赤
乳房胀,月经不调
乳房胀,胸痛
乳房胀,不寐
乳房胀,头胀
乳房胀,面赤
尿黄,胸痛
尿黄,头胀
尿黄,面赤
月经不调,情绪不稳
月经不调,胸痛
月经不调,不寐
月经不调,头胀
月经不调,乳房痛
月经不调,头晕
月经不调,面赤
月经不调,口苦
情绪不稳,胸痛
情绪不稳,头胀
情绪不稳,面赤
胸痛,不寐
胸痛,头胀
胸痛,乳房痛
胸痛,头晕
胸痛,面赤
胸痛,口苦
不寐,头胀
不寐,乳房痛
不寐,面赤
不寐,口苦
头胀,乳房痛
头胀,头晕
头胀,面赤
头胀,口苦
乳房痛,面赤
头晕,面赤
面赤,口苦
月经先期,牙龈出血
月经先期,呕血
月经先期,牙龈溃烂
月经先期,牙痛
月经先期,出血
月经先期,恶热
月经先期,口臭
牙龈出血,呕血
牙龈出血,牙龈溃烂
牙龈出血,牙痛
牙龈出血,出血
牙龈出血,喜冷
牙龈出血,口渴
牙龈出血,尿黄
牙龈出血,恶热
牙龈出血,便秘
牙龈出血,口臭
呕血,牙龈溃烂
呕血,牙痛
呕血,喜冷
呕血,口渴
呕血,恶热
呕血,便秘
呕血,口臭
牙龈溃烂,牙痛
牙龈溃烂,出血
牙龈溃烂,喜冷
牙龈溃烂,口渴
牙龈溃烂,尿黄
牙龈溃烂,恶热
牙龈溃烂,便秘
牙龈溃烂,口臭
牙痛,出血
牙痛,喜冷
牙痛,口渴
牙痛,尿黄
牙痛,恶热
牙痛,便秘
牙痛,口臭
出血,喜冷
出血,口渴
出血,恶热
出血,便秘
出血,口臭
喜冷,恶热
喜冷,口臭
口渴,恶热
尿黄,恶热
恶热,便秘
恶热,口臭
月经过少,呕血
月经过少,汗出
月经过少,咳嗽
月经过少,出血
月经过少,鼻干
月经过少,面赤
月经过少,声哑
月经过少,盗汗
咽干,汗出
咽干,耳鸣
咽干,咳嗽
咽干,鼻干
咽干,声哑
咽干,盗汗
呕血,汗出
呕血,耳鸣
呕血,咳嗽
呕血,鼻干
呕血,发热
呕血,声哑
呕血,盗汗
汗出,耳鸣
汗出,咳嗽
汗出,出血
汗出,鼻干
汗出,头晕
汗出,面赤
汗出,声哑
汗出,盗汗
耳鸣,咳嗽
耳鸣,出血
耳鸣,鼻干
耳鸣,面赤
耳鸣,发热
耳鸣,声哑
耳鸣,盗汗
咳嗽,出血
咳嗽,鼻干
咳嗽,头晕
咳嗽,面赤
咳嗽,发热
咳嗽,声哑
咳嗽,盗汗
出血,鼻干
出血,发热
出血,声哑
出血,盗汗
鼻干,头晕
鼻干,面赤
鼻干,发热
鼻干,声哑
鼻干,盗汗
头晕,发热
头晕,声哑
头晕,盗汗
面赤,发热
面赤,声哑
面赤,盗汗
发热,声哑
发热,盗汗
声哑,盗汗
白带淋漓不断,嗜卧
白带淋漓不断,腹胀
白带淋漓不断,出血
白带淋漓不断,月经色淡
白带淋漓不断,呼吸急促
白带淋漓不断,乏力
白带淋漓不断,崩漏
白带淋漓不断,少言
白带淋漓不断,月经过多
白带淋漓不断,面白
嗜卧,腹胀
嗜卧,出血
嗜卧,月经色淡
嗜卧,呼吸急促
嗜卧,乏力
嗜卧,纳差
嗜卧,崩漏
嗜卧,便溏
嗜卧,少言
嗜卧,月经过多
嗜卧,面白
腹胀,出血
腹胀,月经色淡
腹胀,呼吸急促
腹胀,乏力
腹胀,崩漏
腹胀,少言
出血,月经色淡
出血,呼吸急促
出血,乏力
出血,纳差
出血,崩漏
出血,便溏
出血,少言
出血,月经过多
出血,面白
月经色淡,呼吸急促
月经色淡,纳差
月经色淡,崩漏
月经色淡,便溏
月经色淡,少言
月经色淡,月经过多
呼吸急促,乏力
呼吸急促,纳差
呼吸急促,崩漏
呼吸急促,便溏
呼吸急促,少言
呼吸急促,月经过多
呼吸急促,面白
乏力,崩漏
乏力,便溏
乏力,少言
乏力,月经过多
纳差,崩漏
纳差,少言
纳差,月经过多
崩漏,便溏
崩漏,少言
崩漏,月经过多
崩漏,面白
便溏,少言
便溏,月经过多
少言,月经过多
少言,面白
月经过多,面白
闭经,月经过少
闭经,咽干
闭经,唇干
闭经,大便色黄
闭经,便血
闭经,面赤
闭经,便秘
闭经,口苦
闭经,口臭
月经过少,唇干
月经过少,大便色黄
月经过少,便血
月经过少,口臭
咽干,唇干
咽干,大便色黄
咽干,便血
咽干,便秘
咽干,口臭
唇干,大便色黄
唇干,便血
唇干,面赤
唇干,便秘
唇干,口苦
唇干,口臭
大便色黄,便血
大便色黄,面赤
大便色黄,便秘
大便色黄,口苦
大便色黄,口臭
便血,面赤
便血,便秘
便血,口苦
便血,口臭
面赤,便秘
面赤,口臭
口苦,口臭
月经先期,不寐
月经先期,少气
月经先期,便血
月经先期,乏力
月经先期,心悸
月经先期,面色不荣
月经先期,少言
月经先期,月经过多
足冷,不寐
足冷,少气
足冷,月经色暗
足冷,便血
足冷,乏力
足冷,心悸
足冷,面色不荣
足冷,便溏
足冷,少言
足冷,月经过多
不寐,少气
不寐,月经色暗
不寐,便血
不寐,手冷
不寐,乏力
不寐,心悸
不寐,面色不荣
不寐,纳差
不寐,便溏
不寐,少言
不寐,月经过多
少气,月经色暗
少气,便血
少气,手冷
少气,乏力
少气,心悸
少气,面色不荣
少气,纳差
少气,便溏
少气,少言
少气,月经过多
月经色暗,便血
月经色暗,手冷
月经色暗,乏力
月经色暗,心悸
月经色暗,面色不荣
月经色暗,纳差
月经色暗,少言
便血,手冷
便血,乏力
便血,心悸
便血,面色不荣
便血,纳差
便血,便溏
便血,少言
便血,月经过多
手冷,乏力
手冷,心悸
手冷,面色不荣
手冷,便溏
手冷,少言
手冷,月经过多
乏力,面色不荣
心悸,面色不荣
心悸,纳差
心悸,便溏
心悸,少言
心悸,月经过多
面色不荣,纳差
面色不荣,便溏
面色不荣,少言
面色不荣,月经过多
月经过少,浮肿
月经过少,尿浑浊
浮肿,腰酸
浮肿,尿少
浮肿,月经色淡
浮肿,肢冷
浮肿,尿清
浮肿,形寒
浮肿,尿浑浊
腰酸,尿少
腰酸,月经色淡
腰酸,尿浑浊
尿少,月经色淡
尿少,肢冷
尿少,尿清
尿少,便溏
尿少,形寒
尿少,尿浑浊
月经色淡,肢冷
月经色淡,尿清
月经色淡,形寒
月经色淡,尿浑浊
肢冷,尿浑浊
尿清,尿浑浊
便溏,尿浑浊
形寒,尿浑浊
恶心,肢肿
恶心,大便多
恶心,大便不调
